"Date / Time","Object Name","Object Value",
"10/19/2019 07:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.091 ",
"10/19/2019 07:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 07:10:00 PM","OA-T.Trend - Present Value (Trend1)","60.8 ",
"10/19/2019 07:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 07:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.091 ",
"10/19/2019 07:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 07:00:00 PM","OA-T.Trend - Present Value (Trend1)","61.16 ",
"10/19/2019 07:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 07:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3118 ",
"10/19/2019 07:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 06:50:00 PM","OA-T.Trend - Present Value (Trend1)","61.7 ",
"10/19/2019 06:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 06:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.1749 ",
"10/19/2019 06:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 06:40:00 PM","OA-T.Trend - Present Value (Trend1)","62.24 ",
"10/19/2019 06:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 06:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3118 ",
"10/19/2019 06:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 06:30:00 PM","OA-T.Trend - Present Value (Trend1)","62.6 ",
"10/19/2019 06:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 06:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.1749 ",
"10/19/2019 06:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 06:20:00 PM","OA-T.Trend - Present Value (Trend1)","63.14 ",
"10/19/2019 06:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 06:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3118 ",
"10/19/2019 06:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 06:10:00 PM","OA-T.Trend - Present Value (Trend1)","63.68 ",
"10/19/2019 06:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 06:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3118 ",
"10/19/2019 06:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 06:00:00 PM","OA-T.Trend - Present Value (Trend1)","63.86 ",
"10/19/2019 06:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 06:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.2058 ",
"10/19/2019 06:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 05:50:00 PM","OA-T.Trend - Present Value (Trend1)","64.22 ",
"10/19/2019 05:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 05:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3708 ",
"10/19/2019 05:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 05:40:00 PM","OA-T.Trend - Present Value (Trend1)","64.22 ",
"10/19/2019 05:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 05:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3708 ",
"10/19/2019 05:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 05:30:00 PM","OA-T.Trend - Present Value (Trend1)","64.39999 ",
"10/19/2019 05:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 05:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","146.6233 ",
"10/19/2019 05:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 05:20:00 PM","OA-T.Trend - Present Value (Trend1)","64.22 ",
"10/19/2019 05:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 05:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.3165 ",
"10/19/2019 05:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 05:10:00 PM","OA-T.Trend - Present Value (Trend1)","64.58 ",
"10/19/2019 05:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 05:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.4571 ",
"10/19/2019 05:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 05:00:00 PM","OA-T.Trend - Present Value (Trend1)","65.3 ",
"10/19/2019 05:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 05:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.3165 ",
"10/19/2019 05:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 04:50:00 PM","OA-T.Trend - Present Value (Trend1)","66.02 ",
"10/19/2019 04:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 04:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.4571 ",
"10/19/2019 04:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 04:40:00 PM","OA-T.Trend - Present Value (Trend1)","66.56 ",
"10/19/2019 04:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 04:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.5163 ",
"10/19/2019 04:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 04:30:00 PM","OA-T.Trend - Present Value (Trend1)","66.92 ",
"10/19/2019 04:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 04:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.2589 ",
"10/19/2019 04:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 04:20:00 PM","OA-T.Trend - Present Value (Trend1)","66.74 ",
"10/19/2019 04:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 04:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 04:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 04:10:00 PM","OA-T.Trend - Present Value (Trend1)","66.74 ",
"10/19/2019 04:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 04:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3118 ",
"10/19/2019 04:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 04:00:00 PM","OA-T.Trend - Present Value (Trend1)","66.92 ",
"10/19/2019 04:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 04:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3118 ",
"10/19/2019 04:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 03:50:00 PM","OA-T.Trend - Present Value (Trend1)","67.1 ",
"10/19/2019 03:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 03:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.2058 ",
